123783,4,0,6,1,20,2,2403,93,1
89454,3,1,1,1,1,1,24,0,1
115369,4,174,78,2,64,2,1,1,2
25920,2,7,7,1,32,2,582,2,1
173034,4,172,77,2,9,2,1,1,1
7544,2,6,6,1,85,2,582,1,1
110128,4,155,89,1,32,2,33005,15,1
149001,4,210,105,2,38,2,1,2,2
3667,4,22,15,1,19,2,1950,4,1
79548,2,6,6,1,38,2,331,0,1
114595,3,2,3,2,19,1,1,3,1
172579,4,172,77,2,22,2,1,2,2
54213,2,34,34,1,64,2,730,1,1
44821,36,0,4,1,121,1,3821,10,1
109354,2,7,6,1,9,2,31773,0,1
12190,4,37,30,1,121,2,841,22,1
14571,2,7,7,1,63,2,582,1,1
114660,4,210,99,2,18,2,1,1,2
65976,5,20,21,1,38,2,187,17,1
130233,4,174,78,2,64,2,1,1,2
41039,3,2,1,2,11,1,1,1,1
100153,4,2,4,1,85,2,225,0,1
150373,4,174,78,2,22,2,1,1,2
126305,2,6,6,1,32,2,582,0,1
58773,4,4,6,1,32,2,30877,3,1
80372,4,5,5,1,5,2,1242,1,1
66147,3,2,1,2,147,1,1,0,1
170336,4,12,6,2,38,2,1,0,1
94611,16,0,2,4,26094,3,121,1,1
47651,3,0,1,1,1,1,406,0,1
120446,3,8,8,1,1,1,24,0,1
91620,4,31,19,1,9,2,8294,2,1
123640,4,65,47,1,11,2,9310,18,1
51533,1,0,8,1,121,1,19704,103,1
82912,7,16,8,2,34,2,1,0,1
15727,2,5,5,1,147,2,10355,1,1
57531,2,9,9,1,5,2,8974,48,1
14685,2,14,10,1,5,2,12596,2,1
49274,4,12,6,2,5,2,1,0,1
125153,4,174,78,2,64,2,1,1,2
150351,2,174,61,2,41,2,1,5,1
187505,2,7,7,1,85,2,582,1,1
171915,2,6,6,1,38,2,331,2,1
114893,2,12,10,1,5,2,31754,2,1
147393,2,2,4,1,18,2,31699,0,1
72412,4,50,33,1,41,2,1985,201,1
146881,2,11,11,1,38,2,331,3,1
182949,2,7,7,1,5,2,82,2,1
6527,8,0,3,2,5,1,52,2,1
22788,4,0,6,1,121,2,1316,103,1
147472,4,172,77,2,64,2,1,0,2
56542,4,5,6,1,38,2,136,0,1
24937,2,5,5,1,147,2,10355,1,1
122308,2,4,5,1,121,2,8961,0,1
51434,4,10,20,1,11,2,801,147,1
69331,3,1,1,1,1,1,24,0,1
111062,2,5,5,1,63,2,33281,0,1
12338,4,38,24,1,11,2,33707,8,1
66892,4,106,58,1,58,2,10356,4,1
85638,4,44,25,1,63,2,10252,2,1
119475,4,24,43,1,58,2,32008,23,1
103094,4,57,33,1,20,2,9964,1,1
123400,2,3,6,1,11,2,9310,3,1
75288,3,4,4,2,121,1,1,3,1
67968,2,5,6,1,121,2,8961,1,1
143961,4,210,105,2,38,2,1,1,2
134365,16,0,1,4,19174,3,121,0,1
154364,2,4,5,1,121,2,8961,0,1
47384,2,18,14,1,5,2,28862,15,1
3743,10,0,1,2,38,1,52,0,1
148949,4,210,105,2,38,2,1,1,2
119265,2,21,16,1,19,2,381,23,1
89789,2,6,6,1,11,2,33523,2,1
26987,2,4,5,1,64,2,8961,4,1
11891,3,1,1,1,1,1,24,0,1
125556,4,210,95,2,18,2,1,2,2
147439,4,174,78,2,22,2,1,1,2
120917,2,6,6,1,9,2,29739,2,1
88435,4,16,8,2,3,2,1,2,1
108116,2,6,6,1,9,2,31773,1,1
14273,2,22,15,1,11,2,33631,53,1
15047,2,10,10,1,11,2,3044,0,1
139025,4,174,78,2,64,2,1,1,2
123382,4,210,106,2,38,2,1,1,2
92688,4,1,2,1,58,2,137,1,1
25466,4,5,5,1,5,2,288,1,1
150396,4,174,78,2,64,2,1,1,2
16018,4,3,5,1,3,2,243,5,1
150042,2,5,5,1,3,2,515,3,1
108462,9,0,3,1,121,2,24661,9,1
64618,3,1,1,1,1,1,429,1,1
122230,2,4,5,1,121,2,8961,0,1
116311,2,5,5,1,22,2,891,1,1
144226,4,174,79,2,64,2,1,0,2
95657,4,37,30,1,63,2,1348,23,1
123808,4,156,65,2,22,2,1,0,2
117422,2,92,51,1,19,2,829,6,1
141461,2,8,8,1,11,2,9777,5,1
68195,3,1,1,1,1,1,24,0,1
56478,4,26,16,1,22,2,513,117,1
150874,4,174,78,2,22,2,1,0,2
11557,4,6,6,1,85,2,582,1,1
34635,4,2,1,2,11,2,1,72,1
7030,2,8,7,1,41,2,582,1,1
90524,3,4,9,1,1,1,24,1,1
155748,2,6,6,1,9,2,29739,1,1
145433,4,5,5,1,41,2,582,2,1
110182,4,210,97,2,18,2,1,2,2
159026,4,192,80,2,85,2,1,2,2
141450,2,7,6,1,9,2,31773,0,1
9631,2,6,6,1,38,2,582,3,1
155982,2,5,5,1,16,2,8238,0,1
95412,2,5,5,1,121,2,2860,2,1
32438,3,2,2,1,1,1,24,0,1
90513,1,0,1,1,121,1,20730,0,1
77281,3,8,4,2,63,1,1,92,1
56431,3,1,1,1,1,1,24,4,1
2699,4,1,2,1,19,2,139,0,1
1692,3,1,1,1,1,1,24,0,1
29042,1,0,1,1,121,1,4715,0,1
142704,4,1,2,1,38,2,156,0,1
86821,2,48,39,1,64,2,1087,5,1
153141,16,0,5,4,30352,3,121,113,1
23288,2,14,15,1,3,2,34101,48,1
143752,4,154,64,2,22,2,1,1,2
114760,2,8,7,1,38,2,582,6,1
89345,2,7,13,1,121,2,76,181,1
148817,3,1,1,1,1,1,24,1,1
4740,3,1,1,1,1,1,24,0,1
1947,13,8,4,2,34,2,1,0,1
124571,2,59,39,1,121,2,1316,7,1
22312,3,1,1,1,1,1,24,0,1
90935,4,6,6,1,17,2,331,0,1
66865,2,5,5,1,147,2,10355,3,1
189193,2,7,7,1,85,2,582,6,1
166520,2,7,6,1,85,2,634,102,1
118096,4,8,12,1,17,2,281,9,1
41097,3,1,1,1,1,1,24,1,1
107009,4,154,64,2,22,2,1,0,2
163153,2,7,7,1,22,2,447,1,1
31399,3,1,1,1,1,1,24,1,1
116466,4,154,64,2,22,2,1,1,2
139401,2,4,5,1,121,2,8961,0,1
73610,4,189,123,1,20,2,32979,127,1
118360,2,3,5,1,121,2,845,0,1
85120,3,1,1,1,1,1,24,0,1
68403,9,1,2,1,121,2,18732,7,1
4044,2,6,6,1,41,2,582,3,1
22210,3,2,1,2,121,1,1,0,1
133854,2,6,6,1,41,2,582,1,1
111935,4,5,5,1,3,2,582,0,1
96218,3,1,1,1,1,1,24,1,1
78373,1,0,4,1,121,1,16841,10,1
50403,2,20,18,1,63,2,363,1,1
158254,2,6,6,1,41,2,582,1,1
162935,3,2,1,2,16,1,1,1,1
137724,4,174,78,2,64,2,1,1,2
26717,2,6,6,1,38,2,582,2,1
157578,4,210,105,2,38,2,1,1,2
14189,1,0,1,1,121,1,15582,0,1
114949,2,40,30,1,121,2,1316,6,1
121526,3,1,1,1,1,1,24,0,1
98963,2,7,7,1,41,2,582,0,1
93469,2,6,6,1,41,2,582,1,1
165788,4,5,5,1,32,2,31761,36,1
108172,4,174,78,2,64,2,1,1,2
140131,4,4,2,2,22,2,1,0,1
114160,3,20,10,2,63,1,1,14,1
22648,2,6,6,1,41,2,582,3,1
38403,3,1,1,1,1,1,24,0,1
131711,4,154,64,2,22,2,1,0,2
12407,2,427,243,1,63,2,34150,292,1
189285,3,1,1,1,1,1,24,0,1
143230,4,212,96,2,16,2,1,3,2
18764,1,0,1,1,121,1,16708,0,1
20567,2,8,13,1,63,2,2641,162,1
126477,2,7,7,1,38,2,582,1,1
154233,2,6,6,1,9,2,31773,2,1
127779,4,3,5,1,64,2,1097,1,1
94629,3,2,1,2,11,1,1,0,1
162519,4,174,78,2,22,2,1,1,2
130072,4,210,107,2,85,2,1,2,2
177951,4,7,7,1,38,2,678,5,1
29139,2,19,19,1,63,2,205,163,1
95272,2,6,6,1,41,2,582,1,1
32974,16,0,1,4,4602,3,121,49,1
156103,2,9,9,1,147,2,137,2,1
168464,3,2,1,2,121,1,1,1,1
130484,2,26,22,1,5,2,8974,45,1
52607,2,6,7,1,17,2,1316,8,1
164864,4,176,73,2,38,2,1,2,2
150500,4,6,8,1,19,2,2128,7,1
124239,3,1,1,1,1,1,24,0,1
161094,2,4,5,1,121,2,8961,0,1
95222,2,5,5,1,63,2,2641,5,1
56259,2,31,31,1,121,2,1316,13,1
